amazon revenue,author revenue,average rating,genre,gross sales,name,publisher revenue,sale price,sales rank,sold by,total reviews,type,units sold
1050.644,1050.644,0,genre fiction,5253.22,Ballantine Books,3151.932,10.99,213,Random House LLC,0,big five,478
475.048,475.048,4.64,genre fiction,2375.24,Forever,1425.144,4.99,214,Hachette Book Group,48,big five,476
92.07,92.07,4.64,genre fiction,460.35,Entangled: Brazen,276.21,0.99,221,Macmillan,73,big five,465
91.08,91.08,4.47,genre fiction,455.4,Bantam,273.24,0.99,224,Random House LLC,629,big five,460
1000.09,1000.09,0,genre fiction,5000.45,Threshold Editions,3000.27,10.99,227,Simon and Schuster Digital Sales Inc,0,big five,455
1039.182,1039.182,4.74,genre fiction,5195.91,Knopf,3117.546,11.47,228,Random House LLC,99,big five,453
450.098,450.098,3.6,genre fiction,2250.49,Penguin Books,1350.294,4.99,229,Penguin Group (USA) LLC,1517,big five,451
958.5,958.5,4.65,genre fiction,4792.5,Del Rey,2875.5,10.65,230,Random House LLC,123,big five,450
954.24,954.24,4.66,genre fiction,4771.2,Dutton Adult,2862.72,10.65,231,Penguin Group (USA) LLC,75,big five,448
264.914,264.914,4.75,genre fiction,1324.57,Gallery Books,794.742,2.99,234,Simon and Schuster Digital Sales Inc,468,big five,443
1762.236,1762.236,4.51,genre fiction,8811.18,Bantam,5286.708,19.98,235,Random House LLC,1092,big five,441
435.128,435.128,4.44,genre fiction,2175.64,Bantam,1305.384,4.99,238,Random House LLC,4874,big five,436
1038.334,1038.334,5,genre fiction,5191.67,Putnam Adult,3115.002,11.99,240,Penguin Group (USA) LLC,1,big five,433
518.734,518.734,4.27,genre fiction,2593.67,"Little, Brown and Company",1556.202,5.99,240,Hachette Book Group,2221,big five,433
85.14,85.14,3.43,genre fiction,425.7,Dell,255.42,0.99,242,Random House LLC,442,big five,430
1021.548,1021.548,0,genre fiction,5107.74,Roc,3064.644,11.99,244,Penguin Group (USA) LLC,0,big five,426
84.15,84.15,4.64,genre fiction,420.75,Entangled: Brazen,252.45,0.99,245,Macmillan,223,big five,425
894.6,894.6,4.16,nonfiction,4473,Knopf,2683.8,10.65,248,Random House LLC,42,big five,420
82.764,82.764,4.45,genre fiction,413.82,Entangled: Brazen,248.292,0.99,249,Macmillan,55,big five,418
414.17,414.17,3.69,genre fiction,2070.85,Bantam,1242.51,4.99,251,Random House LLC,5429,big five,415
405.188,405.188,4.2,nonfiction,2025.94,Vintage,1215.564,4.99,256,Random House LLC,3452,big five,406
201.5,201.5,4.45,genre fiction,1007.5,William Morrow Paperbacks,604.5,2.5,258,HarperCollins Publishers,1594,big five,403
854.13,854.13,4.57,genre fiction,4270.65,Putnam Adult,2562.39,10.65,259,Penguin Group (USA) LLC,7,big five,401
636.004,636.004,4.62,genre fiction,3180.02,NAL,1908.012,7.99,261,Penguin Group (USA) LLC,45,big five,398
545.22,545.22,4.59,nonfiction,2726.1,"Little, Brown and Company",1635.66,6.99,266,Hachette Book Group,1104,big five,390
230.828,230.828,4.42,nonfiction,1154.14,"Farrar, Straus and Giroux",692.484,2.99,268,Macmillan,909,big five,386
153.23,153.23,4.68,genre fiction,766.15,Anchor,459.69,1.99,269,Random House LLC,1636,big five,385
612.034,612.034,4.3,genre fiction,3060.17,Berkley,1836.102,7.99,270,Penguin Group (USA) LLC,20,big five,383
227.24,227.24,4.17,genre fiction,1136.2,Margaret K. McElderry Books,681.72,2.99,272,Simon and Schuster Digital Sales Inc,2730,big five,380
377.244,377.244,4.83,nonfiction,1886.22,Viking Adult,1131.732,4.99,273,Penguin Group (USA) LLC,1011,big five,378
374.25,374.25,4.28,genre fiction,1871.25,Delacorte Press,1122.75,4.99,275,Random House LLC,1539,big five,375
223.054,223.054,4.5,genre fiction,1115.27,Center Street,669.162,2.99,276,Hachette Book Group,86,big five,373
555,555,4.04,nonfiction,2775,"Little, Brown and Company",1665,7.5,278,Hachette Book Group,1113,big five,370
220.064,220.064,4.24,genre fiction,1100.32,Delacorte Press,660.192,2.99,279,Random House LLC,4268,big five,368
877.668,877.668,0,genre fiction,4388.34,Putnam Adult,2633.004,11.99,280,Penguin Group (USA) LLC,0,big five,366
816.87,816.87,4.18,nonfiction,4084.35,Ecco,2450.61,11.19,281,HarperCollins Publishers,27,big five,365
215.878,215.878,3.72,genre fiction,1079.39,Berkley,647.634,2.99,283,Penguin Group (USA) LLC,5468,big five,361
781.156,781.156,4.76,nonfiction,3905.78,Crown Forum,2343.468,10.91,285,Random House LLC,2236,big five,358
212.888,212.888,4.73,genre fiction,1064.44,Minotaur Books,638.664,2.99,286,Macmillan,94,big five,356
141.29,141.29,4.53,nonfiction,706.45,Simon & Schuster,423.87,1.99,287,Simon and Schuster Digital Sales Inc,143,big five,355
206.31,206.31,4.65,nonfiction,1031.55,Simon & Schuster,618.93,2.99,293,Simon and Schuster Digital Sales Inc,1709,big five,345
203.918,203.918,2.89,fiction,1019.59,Simon & Schuster,611.754,2.99,295,Simon and Schuster Digital Sales Inc,735,big five,341
774.52,774.52,3.49,genre fiction,3872.6,Putnam Adult,2323.56,11.39,296,Penguin Group (USA) LLC,1035,big five,340
133.33,133.33,4.61,genre fiction,666.65,HarperCollins,399.99,1.99,299,HarperCollins Publishers,13,big five,335
524.144,524.144,4.12,genre fiction,2620.72,Broadway Books,1572.432,7.99,303,Random House LLC,1874,big five,328
575.064,575.064,4.43,genre fiction,2875.32,Berkley,1725.192,8.82,304,Penguin Group (USA) LLC,822,big five,326
551.85,551.85,4.3,fiction,2759.25,Harper,1655.55,8.49,305,HarperCollins Publishers,869,big five,325
322.354,322.354,4.64,genre fiction,1611.77,Margaret K. McElderry Books,967.062,4.99,306,Simon and Schuster Digital Sales Inc,1481,big five,323
493.698,493.698,4.6,genre fiction,2468.49,Razorbill,1481.094,7.69,307,Penguin Group (USA) LLC,311,big five,321
408.87,408.87,4.41,nonfiction,2044.35,Knopf,1226.61,6.49,311,Random House LLC,2091,big five,315
374.974,374.974,3.99,nonfiction,1874.87,Spiegel & Grau,1124.922,5.99,312,Random House LLC,1483,big five,313
492.184,492.184,4.35,genre fiction,2460.92,"Little, Brown and Company",1476.552,7.99,315,Hachette Book Group,885,big five,308
430.584,430.584,4.64,nonfiction,2152.92,Gotham Books,1291.752,6.99,315,Penguin Group (USA) LLC,848,big five,308
2065.46,2065.46,4.78,genre fiction,10327.3,Razorbill,6196.38,33.86,317,Penguin Group (USA) LLC,19,big five,305
297.404,297.404,4.4,genre fiction,1487.02,Dell,892.212,4.99,321,Random House LLC,3474,big five,298
354.59,354.59,4.42,genre fiction,1772.95,Avon,1063.77,6.01,323,HarperCollins Publishers,64,big five,295
57.618,57.618,4.5,nonfiction,288.09,Thomas Nelson,172.854,0.99,325,HarperCollins Christian Publishing,28,big five,291
738.92,738.92,0,genre fiction,3694.6,Grand Central Publishing,2216.76,12.74,326,Hachette Book Group,0,big five,290
341.43,341.43,4.44,genre fiction,1707.15,Pocket Books,1024.29,5.99,329,Simon and Schuster Digital Sales Inc,725,big five,285
414.312,414.312,4.36,genre fiction,2071.56,"Little, Brown and Company",1242.936,7.32,330,Hachette Book Group,2291,big five,283
282.434,282.434,4.26,genre fiction,1412.17,Margaret K. McElderry Books,847.302,4.99,330,Simon and Schuster Digital Sales Inc,1266,big five,283
219.45,219.45,4.2,fiction,1097.25,Scribner,658.35,3.99,335,Simon and Schuster Digital Sales Inc,4099,big five,275
523.614,523.614,4.96,genre fiction,2618.07,HarperCollins,1570.842,9.59,336,HarperCollins Publishers,66,big five,273
343.97,343.97,3.96,genre fiction,1719.85,Mulholland Books,1031.91,6.49,341,Hachette Book Group,6148,big five,265
154.284,154.284,4.64,genre fiction,771.42,Gallery Books,462.852,2.99,345,Simon and Schuster Digital Sales Inc,212,big five,258
305.49,305.49,4.8,genre fiction,1527.45,Berkley,916.47,5.99,347,Penguin Group (USA) LLC,10,big five,255
148.902,148.902,4.48,genre fiction,744.51,Dell,446.706,2.99,351,Random House LLC,954,big five,249
148.304,148.304,4.34,genre fiction,741.52,HarperTeen,444.912,2.99,354,HarperCollins Publishers,1268,big five,248
228.228,228.228,4.4,genre fiction,1141.14,Putnam Adult,684.684,4.62,356,Penguin Group (USA) LLC,1732,big five,247
245.508,245.508,4.65,genre fiction,1227.54,Margaret K. McElderry Books,736.524,4.99,357,Simon and Schuster Digital Sales Inc,1146,big five,246
339.714,339.714,4.56,genre fiction,1698.57,Grand Central Publishing,1019.142,6.99,363,Hachette Book Group,484,big five,243
240.518,240.518,4.58,genre fiction,1202.59,Margaret K. McElderry Books,721.554,4.99,367,Simon and Schuster Digital Sales Inc,1275,big five,241
513.33,513.33,4.25,genre fiction,2566.65,Grand Central Publishing,1539.99,10.65,368,Hachette Book Group,4,big five,241
239.52,239.52,4.2,genre fiction,1197.6,Pocket Books,718.56,4.99,370,Simon and Schuster Digital Sales Inc,238,big five,240
308.924,308.924,4.61,genre fiction,1544.62,Random House,926.772,6.49,373,Random House LLC,1085,big five,238
283.926,283.926,4.51,genre fiction,1419.63,Bantam,851.778,5.99,375,Random House LLC,2278,big five,237
236.526,236.526,3.59,nonfiction,1182.63,Bantam,709.578,4.99,376,Random House LLC,2808,big five,237
377.128,377.128,4.44,nonfiction,1885.64,Thomas Nelson,1131.384,7.99,378,HarperCollins Christian Publishing,6353,big five,236
328.53,328.53,4.2,genre fiction,1642.65,Putnam Adult,985.59,6.99,380,Penguin Group (USA) LLC,1771,big five,235
92.734,92.734,4.29,genre fiction,463.67,Simon Pulse,278.202,1.99,383,Simon and Schuster Digital Sales Inc,805,big five,233
92.336,92.336,4.01,nonfiction,461.68,It Books,277.008,1.99,385,HarperCollins Publishers,310,big five,232
492.03,492.03,4.54,nonfiction,2460.15,Ballantine Books,1476.09,10.65,387,Random House LLC,24,big five,231
138.138,138.138,4.52,nonfiction,690.69,HarperCollins e-books,414.414,2.99,388,HarperCollins Publishers,2015,big five,231
137.54,137.54,4.13,genre fiction,687.7,Thomas Dunne Books,412.62,2.99,389,Macmillan,183,big five,230
501.86,501.86,4.19,nonfiction,2509.3,Harmony,1505.58,10.91,389,Random House LLC,991,big five,230
1180.584,1180.584,4.27,genre fiction,5902.92,Katherine Tegen Books,3541.752,25.89,393,HarperCollins Publishers,383,big five,228
356.354,356.354,4.59,genre fiction,1781.77,NAL,1069.062,7.99,404,Penguin Group (USA) LLC,30,big five,223
332.556,332.556,4.12,genre fiction,1662.78,Jove,997.668,7.49,406,Penguin Group (USA) LLC,2125,big five,222
132.158,132.158,4.15,genre fiction,660.79,Gallery Books,396.474,2.99,408,Simon and Schuster Digital Sales Inc,346,big five,221
87.56,87.56,3.95,genre fiction,437.8,Delacorte Press,262.68,1.99,409,Random House LLC,1429,big five,220
262.362,262.362,4.26,genre fiction,1311.81,Tor Books,787.086,5.99,412,Macmillan,1162,big five,219
372.806,372.806,3.71,fiction,1864.03,"Little, Brown and Company",1118.418,8.59,415,Hachette Book Group,522,big five,217
462.21,462.21,4.41,genre fiction,2311.05,Ballantine Books,1386.63,10.65,416,Random House LLC,36,big five,217
343.57,343.57,4.31,genre fiction,1717.85,Bantam,1030.71,7.99,419,Random House LLC,188,big five,215
84.774,84.774,4.56,genre fiction,423.87,Katherine Tegen Books,254.322,1.99,423,HarperCollins Publishers,508,big five,213
212.574,212.574,3.84,genre fiction,1062.87,"Little, Brown and Company",637.722,4.99,424,Hachette Book Group,284,big five,213
338.776,338.776,4.52,genre fiction,1693.88,Putnam Adult,1016.328,7.99,425,Penguin Group (USA) LLC,485,big five,212
216.064,216.064,4.59,genre fiction,1080.32,Bantam,648.192,5.12,427,Random House LLC,2550,big five,211
401.52,401.52,4.53,genre fiction,2007.6,Atria/Emily Bestler Books,1204.56,9.56,430,Simon and Schuster Digital Sales Inc,3382,big five,210
249.184,249.184,3.6,nonfiction,1245.92,Bantam,747.552,5.99,434,Random House LLC,490,big five,208
491.59,491.59,0,genre fiction,2457.95,Viking Adult,1474.77,11.99,439,Penguin Group (USA) LLC,0,big five,205
324.394,324.394,4.14,genre fiction,1621.97,Berkley,973.182,7.99,444,Penguin Group (USA) LLC,5128,big five,203
340.634,340.634,4.59,genre fiction,1703.17,Delacorte Press,1021.902,8.39,444,Random House LLC,445,big five,203
120.198,120.198,4.66,genre fiction,600.99,Gallery Books,360.594,2.99,447,Simon and Schuster Digital Sales Inc,602,big five,201
79.998,79.998,3.82,genre fiction,399.99,Grand Central Publishing,239.994,1.99,448,Hachette Book Group,50,big five,201
100,100,4.59,genre fiction,500,Avon,300,2.5,449,HarperCollins Publishers,361,big five,200
211.972,211.972,4.29,genre fiction,1059.86,Bantam,635.916,5.38,455,Random House LLC,3743,big five,197
296.01,296.01,4.84,children,1480.05,Knopf Books for Young Readers,888.03,7.59,459,Random House LLC,3223,big five,195
116.61,116.61,4.35,genre fiction,583.05,Gallery Books,349.83,2.99,460,Simon and Schuster Digital Sales Inc,228,big five,195
38.412,38.412,3.91,genre fiction,192.06,Katherine Tegen Books,115.236,0.99,462,HarperCollins Publishers,836,big five,194
345.216,345.216,3.55,genre fiction,1726.08,Ecco,1035.648,8.99,465,HarperCollins Publishers,710,big five,192
293.758,293.758,4.76,genre fiction,1468.79,Razorbill,881.274,7.69,468,Penguin Group (USA) LLC,307,big five,191
302.022,302.022,4.63,genre fiction,1510.11,Bantam,906.066,7.99,472,Random House LLC,22,big five,189
113.022,113.022,4.1,fiction,565.11,Debbie Macomber Books,339.066,2.99,472,Random House LLC,29,big five,189
222.828,222.828,4.29,genre fiction,1114.14,Signet,668.484,5.99,478,Penguin Group (USA) LLC,31,big five,186
110.032,110.032,4.32,genre fiction,550.16,Forge Books,330.096,2.99,482,Macmillan,2243,big five,184
108.836,108.836,3.73,genre fiction,544.18,"Little, Brown and Company",326.508,2.99,485,Hachette Book Group,859,big five,182
248.612,248.612,4.59,genre fiction,1243.06,Berkley,745.836,6.83,486,Penguin Group (USA) LLC,1513,big five,182
345.24,345.24,3.98,nonfiction,1726.2,St. Martin's Press,1035.72,9.59,489,Macmillan,139,big five,180
456.092,456.092,0,genre fiction,2280.46,"Little, Brown and Company",1368.276,12.74,492,Hachette Book Group,0,big five,179
106.444,106.444,4.73,nonfiction,532.22,"Little, Brown and Company",319.332,2.99,493,Hachette Book Group,356,big five,178
70.844,70.844,4.15,fiction,354.22,Grand Central Publishing,212.532,1.99,493,Hachette Book Group,288,big five,178
246.048,246.048,4.36,genre fiction,1230.24,HarperTeen,738.144,6.99,498,HarperCollins Publishers,861,big five,176
243.252,243.252,4.5,fiction,1216.26,MTV Books,729.756,6.99,502,Simon and Schuster Digital Sales Inc,5562,big five,174
368.49,368.49,4.17,genre fiction,1842.45,Ballantine Books,1105.47,10.65,505,Random House LLC,47,big five,173
103.454,103.454,4.37,genre fiction,517.27,Gallery Books,310.362,2.99,509,Simon and Schuster Digital Sales Inc,1246,big five,173
326.456,326.456,4.19,genre fiction,1632.28,Viking Adult,979.368,9.49,513,Penguin Group (USA) LLC,886,big five,172
375.858,375.858,3.16,fiction,1879.29,St. Martin's Press,1127.574,10.99,516,Macmillan,30,big five,171
221.958,221.958,4.35,genre fiction,1109.79,Grand Central Publishing,665.874,6.49,517,Hachette Book Group,875,big five,171
129.618,129.618,4.24,fiction,648.09,Forever,388.854,3.79,517,Hachette Book Group,33,big five,171
101.66,101.66,4.43,genre fiction,508.3,Speak,304.98,2.99,519,Penguin Group (USA) LLC,975,big five,170
337.662,337.662,4.52,nonfiction,1688.31,Simon & Schuster,1012.986,9.99,523,Simon and Schuster Digital Sales Inc,455,big five,169
270.062,270.062,3.95,genre fiction,1350.31,Vintage,810.186,7.99,524,Random House LLC,47,big five,169
430.612,430.612,0,genre fiction,2153.06,Tor Books,1291.836,12.74,525,Macmillan,0,big five,169
258.908,258.908,4.15,nonfiction,1294.54,Simon & Schuster,776.724,7.66,526,Simon and Schuster Digital Sales Inc,6936,big five,169
368.758,368.758,4.64,fiction,1843.79,St. Martin's Press,1106.274,10.91,526,Macmillan,95,big five,169
268.464,268.464,4.17,genre fiction,1342.32,William Morrow,805.392,7.99,528,HarperCollins Publishers,2333,big five,168
258.384,258.384,4.14,genre fiction,1291.92,Jove,775.152,7.69,531,Penguin Group (USA) LLC,1293,big five,168
66.466,66.466,4.31,genre fiction,332.33,Harper Voyager,199.398,1.99,532,HarperCollins Publishers,473,big five,167
397.126,397.126,3.25,genre fiction,1985.63,Harper,1191.378,11.89,535,HarperCollins Publishers,44,big five,167
367.066,367.066,4.24,nonfiction,1835.33,Harmony,1101.198,10.99,536,Random House LLC,70,big five,167
230.408,230.408,4.38,genre fiction,1152.04,Delacorte Press,691.224,6.94,537,Random House LLC,636,big five,166
230.67,230.67,3.73,genre fiction,1153.35,Putnam Adult,692.01,6.99,541,Penguin Group (USA) LLC,932,big five,165
32.67,32.67,1.83,genre fiction,163.35,"Little, Brown and Company",98.01,0.99,543,Hachette Book Group,488,big five,165
164.67,164.67,0,fiction,823.35,Forever,494.01,4.99,544,Hachette Book Group,0,big five,165
351.45,351.45,4.61,genre fiction,1757.25,Berkley,1054.35,10.65,545,Penguin Group (USA) LLC,679,big five,165
349.32,349.32,4.55,nonfiction,1746.6,Sentinel,1047.96,10.65,547,Penguin Group (USA) LLC,1151,big five,164
162.674,162.674,4.37,genre fiction,813.37,Speak,488.022,4.99,551,Penguin Group (USA) LLC,689,big five,163
294.052,294.052,4.07,genre fiction,1470.26,Vintage,882.156,9.02,553,Random House LLC,860,big five,163
64.078,64.078,3.58,genre fiction,320.39,Delacorte Press,192.234,1.99,561,Random House LLC,1574,big five,161
128.478,128.478,4.24,nonfiction,642.39,"Little, Brown and Company",385.434,3.99,561,Hachette Book Group,2346,big five,161
